,text,labels
0,Ey European Elections why don t you guys vote Roger Federer finally achieves French Open title dream grats what about wsop must look,4
1,This might be old news to some people but I just found out that Delirious is not together anymore,0
2,Nuts and unfortunately it s usually too hard to hide because of the smell Ah well there s always chocolate,0
3,lamao yeah i ve already considered the need for a 12 step program also that was me quot building quot a subie WRX STI,0
4,88 ohh thats awesome i knew of the books beforehand and i loved them so the movies only makes fall in love all over again xx,4
5,haha yeah excuse me speak English I m like 5 min walk from sacre coeur Damn didn t bring amelie s t on my iPhone though,0
6,Free wireless at 101 again,4
7,I hate accounting and its a double,0
8,i disagree i love mandy moores voice,4
9,Hopefully we will have it over to you in August of this year,4
10,Coldplay concert is coming closer,4
11,damn I miss everything,0
12,and Is the quot Women Tech Yay quot session really at the same time as the Yoga session bcp3,0
13,2 46 98 LOLZ gonna have dinner now i think S HAHA D ladida,4
14,lol goon 8 ish good still have to talk to dad about it but either way youre coming tomine hhaa,4
15,They re amazing live,4
16,Yup US 50 000 So a HDD worth is now declared Check out the link,4
17,I m jealous Have fun,0
18,Dear Twitterati How many people have you met face to face that you didn t know before Twitter Just interested s all Me 11 v cool ppl,4
19,is going to be all alone haha,0
20,bed pain,0
21,Dedicated to those of you who are World Music fans,4
22,writing a speech for english wish i wasnt,0
23,I finished a wholesale order for Blythe Mary Jane shoes for 40 pairs Lots of pretty colors amp glitters,4
24,i haven t done acting classes in two weeks excited for monday,4
25,I believe the best way to keep your body in shape is by eating healthy and exercise That s what I live by I eat a lot but exercise,4
26,lol we r so sad after jon s bombshell but u r making me giggle a little thanx,4
27,hahaha omg I wish I could leave now but then the finale wouldn t get done,0
28,night huni off to bed now chat more laters,4
29,Brien yup i stayed up till 4am hoping to catch the duchvony interview Jay was talking about january so i went to bed lol,0
30,Bum Two flat camera batteries and only one photo taken on the whole trip then it rained Home now,4
31,can feel my headache coming back,0
32,B Back when this storm passes over shouldn t b 2 long,4
33,when will RB2 get an australian release date,0
34,happy birthday to sarah sorry i stole your knife in home ec today xD,4
35,hell yeah how good was it,4
36,lee hah That would be cool No partners though,0
37,I thought people werent supposed to work on the sabbath This should include road construction workers,4
38,shooting PG Cty club last night maybe u shoulnt go there,4
39,I have been having the same kind of argument with mine a lot lately It sucks,0
40,shitty night,0
41,sumone broke into grandma s shop last night stole sum stuff but no money the kitten i was GOING to get got mass murdered yesterday,0
42,This Weekend went too fast Back at work tomorrow,0
43,haha not to me watching tokiohoteltv makes you relize how bad you want to meet them lt 3,0
44,Follllowww me,4
45,come on 4000 followers and only 21 tweets More activity needed here please,4
46,Good morning everyone Another Monday Hope everyone had a great weekend,0
47,Forgot my pain medicine last night Goin thru withdrawal already I hate this,0
48,whats the journal any link what did they say,4
49,thanks respect your advice a little too late,0
50,I m thinking using the word surprise might have been a bad choice Surprise blows up into thoughts of gold when all I ve got is bronze,0
51,so follow he s the coolest,4
52,Frak Home pc on the fritz Freezing rebooting Seems motherboard is flakey Video Card too no to upgrade or replace Bah,0
53,i did that for a while when i owned a coffee machine then gave it up,0
54,iPhone on Three but in july I guess that means I won t be getting one on day 1,0
55,Health Thanks,4
56,restore appears to have installed 3 0 still syncing all my stuff back to phone Tethering gives the quot ask OPTUS quot message for virgin,0
57,hungry tired thirsty no money gig in Lancaster tonight tho I hope I have a good night,0
58,ohhhhhhhhhhh got to bed last night at 5 am its 2pm and i still sleepy,0
59,Just chillin Watermelon is probz ma fav,4
60,I wonder if you ll Tweet while watching Papa Vs Pretty right now,4
61,eating fruitloops and watching south park,4
62,Feels so bad for the people on Air France,0
63,on the phonee to joel,4
64,Don t ask me I still have no idea how to work twitter,4
65,silly msn,0
66,Dockers beat the Eagles again,0
67,sinclair I LOVE Medium,4
68,thank for the re tweet Hope you re good,4
69,Finished work yay Time for assignments boo,0
70,haha were has ur face gone oh nd why sign out on facebook likethat,0
71,PARRA LIFT UP YOUR GAME,0
72,O SERIOUS you are so lucky it isn t out here yet,0
73,Oh no you di int What about Sydney Didn t even take your shirt off,0
74,But I remember how it sounds well enuff to sing it to self in my head,4
75,oowww why do wisdom teeth hurt so much,0
76,stay in Syd,0
77,still sniffling from a cold any sympathy healing vibes gratefully accepted,4
78,going to New life church tomorrow more than expectant of Gods wonders,4
79,Why don t the famous reply ARE YOU TOO FAMOUS lol,0
80,It is soo mean how people keep on leaking all time low s album s it happened to so wrong its right too I feels sorry for the band,0
81,LOUISA I love Death Note,4
82,iPhone 3 0 installed Cut amp paste is a treat iStore won t let me upgrade apps Have accepted new terms 5 times but it keeps asking,0
83,awesome a place to stay when I travel the States but I ll miss you though,0
84,Sounds awesomely good like wow And yay And sweeeeet,4
85,gonna be ok da do do do just dance let the record play hahaha,4
86,That s it OH has demnded no more washing til repairman comes could be 2 weeks laundromat for me from now on NOT HAPPY JAN,0
87,Is getting ready for school but b4 that its Jazz Band it soo cool but school currantly sucks,0
88,2405 what there should be more blondes or you want taller girls,4
89,ARGH watching batman,0
90,am doing sons ironing before packing his stuff for a week long school trip it s the longest time we have been apart,0
91,LVATT ALBUM CAME OUT IN AUSTRALIA TODAY YAY but I can t get it till tomorrow,0
92,answers shyly head down Guilty,0
93,I really Wish I lived in America,0
94,Woo getting my uncles unused brooks seat for 1953,4
95,Thank you,4
96,ajd wish I were there Get on that ride for me tho lol you know that s my jump off,0
97,its not as good as i thought it would be man,0
98,haha yeah work is enough huh,4
99,best mood today,4
100,knows she has more painting to do tomorrow ho hum,0
101,You probably could Try it out and let me know,4
102,I hate tht I work coles nd il look up nd sum1 wil b starin so u look away thn bck jus 2c if they stil lookn its funny,4
103,JG ohhh hope they weren t too hard on ya i alwys thought they lke to wait for U to get comfy B4 they bombard U wth work,0
104,As an Australian just which team should I support in the LFL SD or LA I need help to decide both teams look good,4
105,finally u see the light hahahah one another matter quot Truth by definition is Exclusive quot,4
106,Bored Might as well go and watch the logies o O,0
107,oh no my hair is frizzing,0
108,Had dinner with Was good to catch up Also watched a couple of eps of The Hills,4
109,you re welcome,4
110,ps id go to that club the opening night but its my friends 18th at seven hills so I won t be able to go,0
111,I m having a cup of tea and making zines,4
112,wtf My dog smells,4
113,None I had no money on my card haha and I m not going to be near a EzyDVD till after the sale Oh well shit happens,4
114,We are both following and I don t think I have seen him online lol,4
115,Solution s Pack gear in thinktank and roll it to the nearby eatery Two problems solved,4
116,is feeling better but not 100 just yet I m sure by the end of the week I ll be worse and then I ll have the weekend to recover,4
117,try Hahn Super Dry beer I LOVE it I can t believe you like VB bogan,4
118,,0
119,City2Surf trainning day 6 8 18km in 60mins with 5 min walking warm up and cool down Avg pace 7 19 My legs are going t be sore tomorrow,0
120,yes its official i want long hair again,0
121,my hair is blonder,4
122,Going to watch quot On any Sunday quot again,4
123,Are you watching antm tonight Don t tweet the evicted I ll be watching it later,4
124,You have a great weekend too,4
125,You should be hope you feel better soon,0
126,my internet explorer keeps flipping up lucky im on tweetdeck,4
127,Here s something to make Terminal 8 your own music club,4
128,Just threw out my favourite pair of jeans ever Farewell old friends,0
129,Had to go and buy some extra socks mine are so so so wet,0
130,so just buy lots of forever stamps before increase,4
131,no sorry hope i have not been too rude,0
132,End of conference so no Pikmin 3 or New Zelda,0
