,text,labels
0,Alexis Castle s daughter She s awesome,4
1,Eating baby cookies yuumm,4
2,omg ben i just realized you sent me your pin damn direct messages for not updating i ll add you and maryelleuh now lt 3,0
3,Wuz not junk,0
4,negative although I want to do some iPhone apps soon,4
5,thats sweet i didnt know that,4
6,,4
7,Keep trying Persistence pays off Good luck Nicole,4
8,Not hungover thank god Just got home changed waiting for Josh then going for coffee and bagels,4
9,Last day with Keni on Monday I ll miss her so much when she leaves for her cruse in Greese and Italy,0
10,no hun sorry Today actually sad,0
11,k4t3 life s looking up can you send me some of your good luck,0
12,I am suddenly very looking at the NEXTFEST Schedule wish I was getting ready to open a show in the festival right now too,0
13,Make popcorn,4
14,6 hours of this work weekend left haha I hate wishing the weekend away but this one has got to go I feel a good week coming on xo,4
15,1 day training break today 22 training days starting tomorrow With appropriate drinking breaks,4
16,nothing sweet nothing,0
17,Very important I personally like using the DND button on my phone,4
18,Dang good to know,0
19,see you there,4
20,Give the gift of fun to children in need and win a prize for yourself too BTW,4
21,Back to work tuesday,0
22,I have a headache,0
23,Doesnt look like it will be a kobe lebron match up come on cavs,0
24,Ahh I ate brekfast but i m really hungry still lol it was i guess 9hrs ago I think that headache is creepin up on me agen,0
25,Bad dreams All morning,0
26,My neck is killing me must of slept in a bad postion,0
27,at school in the computer lab can t wait for 12 30 WEEKEND BAYBAY lt 33,0
28,You re the 3rd person celebrating their bday today including my dad Have a good one,4
29,Awww shoot Now my Twitter App DOES have ads,0
30,hiya yeah i have lucy sullivan on 2 dvds which work here its 16 episodes so just wondering how to broadcast for all hrrm,4
31,I m not sure and you Why aren t you,4
32,Hmm so there is a difference between quot erase quot and quot erase all quot she says after losing her entire photo gallery on phone,0
33,s homesick I miss my house and my friends and my bed,0
34,Haha I just took this quiz quot which New Kid would marry you quot and my result was Joey Awww I miss my Joey Joe,0
35,because you only have me and weird al in your feed He posts more than me OKAY,0
36,Hoping my honey gets to feeling better Poor baby gots a sore throat,0
37,is up at 2am cleaning why coz there are no children in the way I ll sleep when I m dead,4
38,Just found my sista on twitter jeez it really isn t easy,4
39,Hey say hi to my sister Gloria plz darlin treysongz live gt,4
40,Preparing for the school awards I miss playing soccer amp wearing my 3 jersey,0
41,Absolutely I will e mail it to you for sure Thanks,4
42,Thanks for the followfriday yesterday And I found through you,4
43,designs Help evryone is talking bgt and I m not watching it lt same here but dying to find out who wins though,4
44,Season finale of Gossip Girl tomorrow night and I have to miss it thanks to work WONDERFUL,0
45,Pain and tired so I ll go to bed to start my eight hours of sleeping for 20 mins and then waking to pee,0
46,trying to sleep but this strep throat is killing me,0
47,Happy Friday quot The mind is not a vessel to be filled but a fire to be kindled quot Plutarch,4
48,lmfao it s not april 1st ya know that was a good 1 was that EGO Ooooer,4
49,I found sulphite free lemon juice Hooray for sodium benzoate,4
50,Nicole follow meeeeeeeee,4
51,Preview of the preview via,4
52,isn t feeling very good,0
53,re Vancouver weather it s been so constantly sunny here for the last several weeks that we re actually getting sick of it,4
54,Please don t stop I want a taste of what you got bahahahaha love it one of my fave songs by him,4
55,I absolutley hate the rain it gives me horrible migranes and sore ankles,0
56,I can t blame LeBron for this disaster but I do blame the lack of star fruit on the mainland Like yeay fo realz sad,0
57,Tomorrow day off Plans Sleep in beach WoW housework and then to bed early because I open at 5 30am on Tuesday,0
58,i need some sexy female follower ill figure it out,0
59,good to know i ll look for ur name and you ll be someone that i actually know in the credits now i m in a band s credits,4
60,I think my iPhone is broken I can t send any emails out,0
61,From the person ME who most would say is not concerned with punctuality its annoying to cover for someone and they are late geesh,4
62,regret because I can only speak through post its apparently The lump in my throat was so big i couldn t say much else,0
63,home for loads of homework nahhh you re gunna watch camp rock definitely better haha,4
64,the tea is for washing down the scones cakes cookies sandwiches and anything else you can scarf down,4
65,Where did my warm weather amp sun go Come back to me,0
66,forward and appreciate the blessings Thank you sweets,4
67,Crazeee That s so much fun I ll send you smoke signals on your bday Nice rock pond btw Is that yours,4
68,only if you promise to be nice,4
69,Its all over I love grads of 09,0
70,We just passed fat baby s catfish house I ll miss you delicious ribs and okra,0
71,Site has been through a bit of downtime over the past week with a lack of updates We have some more stuff planned for the comin week,0
72,Just went to the grocery store to get foil and Rick Astkry was playing over the speakers Rickrolled at Save On,0
73,Last day of CGI 09,0
74,i really wish i wasnt in walmart im missing the awards,0
75,Okay Mother Nature you win My winter jacket is back on today,0
76,I know I couldn t make it I was so upset I found out the week before and I was in NY was it good,0
77,Love this site Finding all kings of new music,4
78,Never did it occur to me,4
79,92 thanks thens miss u na rin tagal na natin di naguusap,0
80,My sister has H1N1 she doesn t look good all pitiful and sick,0
81,I am LOVING TweetGenius Yes awake at 3am and craving some icecream Gonna raid my freezer now,4
82,Oh my hell these antibiotics are making me so sick,0
83,Europe s class schism cosmopolitans v populists Christian democrats still in the lead subsidized agriculture secured no real change,0
84,My lips are sealed Well at least until I have to eat dinner,4
85,I hate Detroit too unless they re beating the Pens If they got rid of Crysob I might actually like them HUGE Gino fan,4
86,you re late but weather seems just fine except a little wind,4
87,all i want to do i curl up and go to sleep after that exam but i ve to study for the one tomorrow,0
88,LOL However this might be a good day to watch Kindergarten Cop Arnie at his playful best with little kids,4
89,No work today for me I always seem to be not there when you decide to go,0
90,Ouch,0
91,who s yer host My Dreamhost has been yoyoing the last 2 days AGAIN,0
92,awesome this IS true for myself as well It just seems to weird,4
93,Off to see 17 again tonight can t believe school starts on monday,0
94,And ChrisD ca wins the cupcakes Thanks for your help spreading the word about Urban Exchange s last survey,4
95,awww why starving,0
96,OH EM GEE I just read that My Name Is Earl has been cancelled I friggin love that show Double plus ungood,0
97,Al Lol groovy,4
98,I soooo need A JOB LOL,0
99,stop hating you make me sadder than this pic of a crying penguin,0
100,Yikes PakCricket trending at 8 now,0
101,why not,0
102,Jungle Jims was awesome last night My bestie leaves today,0
103,rt If U lk the help and luv I m gving U please share me w yr Tweeps If I haven t helped U yet ask and I m thr,4
104,Weekends go too fast,0
105,im feeling like shit,0
106,Coffee kicks tylonol s butt anyday Especially when polluted w lotsa cream and sugar heh heh Hope you feel better soon,4
107,is back and watching the rain,0
108,Stressed about planning for the drive in tomorrow I wish people would just get a hold of me if they are going so we can fill up cars,0
109,I did back now Feeling a bit better stupid innards What an effing night,0
110,katz hee I fight it then again Feral is a more active con than most most chairs don t challenge people to one on one b ball,4
111,All work amp no twit Damn,0
