,text,labels
0,WE RE SLIGHTY FASTER THEN DIAL UP IN NEW ZEALAND it s just not doing it for me 9 the vid link at this time of the day,0
1,you ARE worthy of our support,4
2,Link me to the FB page we ll help you get over the hump,4
3,don t even think about buying my beach in Hawaii,4
4,gnight,4
5,Good morning tweetah Only have couple hours of sleep,0
6,in the East but i ll transfer to The Shore in December,4
7,I miss my buddies,0
8,no Soulcrate Summer,0
9,Cheers They have gone to a good home,4
10,heya 40 hour famine starts on may 22nd are you gonna take part,4
11,can t even see the video of your keynote on campus sth blocked 1st time for a stream,0
12,Cut about not getting subway today pork ribblet Jai Ho,0
13,tery that with a fiasco gee whizz llol hint hint,0
14,mum might let me use AIM express to talk tomorrow but other than that I can t once dad s back the day after I m Sorry love,0
15,im gonna tape them ill show u when i see u sometime,4
16,Hah no purely for NZ Too many sports I hate and they re all on all the tiiiiime No hockey in sight I need to move,4
17,Yeah I know Things would be so much easier that way I m bored the boys are playing tekenen I can t spell it,4
18,Just picked the first radish of the year,4
19,25111993 haha sure sure cya tomorrow ill check if u have studyed or not lol,4
20,I m tagging my thoughts on ringhunt clues at with ringhunt Any joy on 2VC I m babysitting,0
21,Looking forward to the comedy show on tonight,4
22,then I m going the get Entertainment Junkiez quot sewn quot into my face just below my bottom lip lol,4
23,We got waaaaaaasted 4 0 Not good,0
24,Thanks and yes its late in the evening here in New Zealand,4
25,What a bad bad night,0
26,Eh where got face off la we are all kawans here Right or not,4
27,wendywindow Lol yeas that too Weenie,4
28,Still not a millionaire,0
29,Auckland is a great place to visit just not live,4
30,byebye everyone,4
31,Cool Jon just twitted he is skipping out on hob have fun girl,4
32,ooh are you talking about nick pitera,4
33,I saw these awesome skin tight gloves a while back damn warm but can t find them again,0
34,is now convinced that guy from that vampire movie that was him I m sure of it AKL airport no Miley though,0
35,My battery cell is dying I m gonna have to charge it idk where the charger is,0
36,Safari 4 breaks the web viewer many dynamic sites inc Google maps render incorrectly Looking to patch the issue until an update comes,0
37,hi thanks for the follow did you finish fob trail,4
38,Twitter is cool had good weekend,4
39,Yup I think it depend on what written on the package too if it say catnip they take it away or something Cats at MAF happy,0
40,i saw that trailer a few days ago i think ill be let down by this film read the synopsis on wiki amp theyve changed looooads,0
41,Migraine coming hanging in there waiting on meds,0
