,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.82,0.855,0.815,0.8,0.84,0.79,0.83
1,0.865,0.84,0.83,0.815,0.84,0.855,0.805,0.83
2,0.88,0.845,0.845,0.845,0.825,0.86,0.81,0.83
3,0.9,0.83,0.825,0.835,0.82,0.86,0.79,0.825
4,0.835,0.825,0.815,0.825,0.82,0.825,0.79,0.82
5,0.83,0.835,0.83,0.825,0.83,0.85,0.805,0.825
6,0.79,0.825,0.83,0.83,0.835,0.84,0.82,0.82
7,0.82,0.83,0.815,0.815,0.82,0.83,0.795,0.825
8,0.865,0.825,0.835,0.81,0.82,0.835,0.815,0.815
9,0.855,0.84,0.835,0.815,0.84,0.835,0.82,0.825
10,0.86,0.83,0.805,0.795,0.83,0.79,0.81,0.82
11,0.855,0.81,0.815,0.805,0.83,0.815,0.8,0.815
12,0.84,0.83,0.825,0.82,0.84,0.82,0.795,0.82
13,0.86,0.83,0.825,0.805,0.83,0.805,0.825,0.83
14,0.82,0.81,0.81,0.795,0.85,0.815,0.815,0.82
15,0.86,0.835,0.82,0.805,0.835,0.84,0.81,0.825
16,0.835,0.835,0.835,0.815,0.805,0.85,0.81,0.85
17,0.845,0.83,0.835,0.815,0.825,0.865,0.825,0.83
18,0.885,0.825,0.84,0.835,0.855,0.845,0.83,0.85
19,0.82,0.83,0.825,0.815,0.83,0.82,0.82,0.83
20,0.78,0.815,0.795,0.83,0.835,0.82,0.825,0.84
21,0.815,0.835,0.84,0.815,0.835,0.855,0.825,0.825
22,0.84,0.835,0.84,0.795,0.845,0.815,0.81,0.85
23,0.86,0.85,0.84,0.8,0.83,0.795,0.805,0.845
24,0.845,0.82,0.815,0.8,0.82,0.865,0.84,0.82
