,text,labels
0,i really want russell brand to follow me and email me,4
1,just read an artical about you here in the uk in a national news paper www metro co uk etch your world famous nice,4
2,Absolutely gutted that Rafa is out of the French Open but it does leave Murray clear to get to the final A British champion Yeah,4
3,stu And what a lovely day it was happy anniversary,4
4,just look for cars with wheels still on That points the way out of Liverpool,4
5,Yep he has some fab pics,4
6,Some of the design has come off a little nothing major but still not happy Have stopped attempts to stick it back nothing was working,0
7,Sorry photographer has left I ll snap you on my digital camera Monday and pass it to Tracie see if she ll take a late entry,4
8,Me car stereo with built in BTooth is going to have to be sent back to get it replaced I hope so gutted,0
9,This sucks My back is still a wreck I m gonna have to hope I can sleep it off I feel aweful,0
10,is slooooooooooooooow,0
11,Definitely up for it just need to check with her indoors cause she was on about doing something will let you know tomorrow,4
12,You re welcome,4
13,oh no Fathers Day,0
14,Then again back inside today Exam tomorrow so final preparations in full swing Then pub,0
15,M Might be a bit tricky playing an electric bass in the bath I haven t got a death wish yet,4
16,Its my turn to be up with nathan tomorrow so I should have been asleep ages ago but its just son damn noisy outside,0
17,Trying to tune in to thebridge but my laptop is on its last legs,0
18,hehehe Lovely to connect I hope your week is off to a Beautiful start,4
19,and no internet till monday cries again as great as my fone is it cant play WOW,0
20,looking at the sunshine out of my office window,0
21,Too much choice But been searching for other UK drama school students to follow with nothing but fail Bizarre,0
22,What s boring,0
23,I used the same dye I used on my hair but its gone darker than my hair does I hate my roots too,0
24,Hello you are sooo awesome Dont ever stop what your doing haha You make me fall off my chair laughing x,4
25,we better be i was jus readin the magazine nd it sounded like London were better than us,0
26,yay Can you get me a passport while you are there Must get pics for mine Nice ones this time You coming tonight,4
27,going to the beach,4
28,LOVED Coraline also seriously considering dyeing my hair blue thoughts lol,4
29,I WANT ONE PLEASEEE,4
30,wasn t going to was going to be out all weekend but then it rained now looking at an issue,0
31,Sitting in Waterloo stn lots of morning suits top hats flowery hats and summer dresses Ascot week is on I m not going,0
32,Natural order has been restored and all is right with the world again C mon the Gers,4
33,i hate feeling like this,0
34,Argh its really confusing took me ages to find out how to write this Yeah we need to meet up soooooon i miss my kk xxxx,0
35,good no but there is plenty of time,4
36,grrr I hate facebook It keeps telling me that video has been processed but it s not showing Will have to try later,0
37,going to westfiled shopping centre for some retail therapy,4
38,Good morning all Feeling rather zombified yet again I just want to sleep lol,0
39,Update Well as I posted Friday was scheduled to be a busy day but I never expected it to end up the way,0
40,In Apple Mail the RSS comes through with a couple of lines and then you click to visit the blog Sorry,0
41,amped180 Gotta be A Build a Bridge for me but so far in the minority there,0
42,Ordering a filthy disc brake bleed kit and new pads seeing as edinburgh bicycle is too busy to handle it,0
43,Its 6 am and I m awake I woke up 5am whyyyy That s like 5 hours of sleep I m going to regret this later,0
