,text,labels
0,can t find my iPod,0
1,cohen yes Daddy It s on my key ring See u tomorrow,4
2,haha I never knew there was an omelette day And I forgot it at home,0
3,off to another exciting day at work i hate my job fml,0
4,little rock is nice right now,4
5,I m taking applications for the dark side,4
6,Will aim for NYC then unless I get some down time before then Either way will be a pleasure to meet in person,4
7,Would it be Ro s The one I didn t get an invite to,0
8,Ugh I got burnt On the back of my legs Where I put sunscreen Oh well I knew today was gonna be bad,0
9,Didn t rain on our parade today but now it seems to be raining on my buddy s birthday Hope we can fix the cake and make it work,0
10,it worked Thanks I just added you,4
11,Matts house,4
12,Have you tried blowing a whistle loud into the phone Old feminist trick,4
13,Youtube Fail having trouble uploading some more video tests,0
14,Headed to school blah lol can t wait for the game tonight,4
15,I know Erin I was literally SOBBING over quot Marley amp Me quot Soooo sad,0
16,hey man anytime Thanks for holding the door for me this am Chivalry isn t dead,4
17,Crossing my fingers I m on call for Jury duty,0
18,doing sit ups WHILE studying for Algebra this works burn calories pass math babysitting toned no summer school and cash happy,4
19,discover it s trying to sync and shut down New keyboard and we are good,0
20,Living the good life in Buenos Aires,4
21,howlo woof thanx fur your reply i so appawreciate it feel sad fur lost deaf rescue dog such a sad combo of circumstances,0
22,Back went out Stuck in bed Can t move God help me if i have to poop,0
23,Just heard the sad news RIP Farrah Sending lots of blessings her way,0
24,So about that meat,4
25,Barack Obama s speech rocked I ve never seen him smile so much He loves ASU,4
26,in a word yes But I define Ninja as someone with skilled moves and a cool outfit I m not very stealthy,4
27,Welcome back Glad things got sorted out,4
28,That is really cute I thought about doing that if that got a bit older to understand But my husband put his foot down,4
29,I love Minna Lessig dvds I have three of them,4
30,Watching Dirty Dancing Determined to learn it,4
31,Oh I found them o Silly bed hiding them from me lol,0
32,Send me to a site where I can see some of your work I m dying to see what fab creations come of your purchases,4
33,Saturday night fever proper fever,0
34,Getting ready for staff meeting We ll talk through the results of our MBTI temperament sorter Look forward to it,4
35,Why do people have to be jerks,0
36,i have mr mc squared lol amp roberts roberts best history teacher EVER,4
37,I hope Everie is okay,0
38,Thanks astd09 was good Loved the mobile learning booth but they should definitely be on Twitter,4
39,Getting ready lunch KD meeting then HOMEEEEEEEEE,4
