,text,labels
0,oh no i think he is mad at me wat am i gonna do if i ask him will that be showing that i am guilty of sumthing or shud i just ask,0
1,Is feeling roaring and ready to go YAY For public holidays,4
2,was a smart gal until I fell INLOVE,0
3,I tend to use photoshop for everything these days I almost hit compose in it,0
4,is lying with her bestie hannah pancakes after a crazy night including getting ice cream all over my facce,0
5,my mom s French Mauritian and I can t speak French Good luck learning it,0
6,Oh he s too cute Love the ears,4
7,I love that so many people around the world love the Burdah fb,4
8,Gonna climb into bed with my text book and guitar now its cold and i miss my mommy s soup its all gud tho,0
9,Fascinating stuff but I am getting on with some work ready for Monday No replies on how to combat jetlag,0
10,All going well out there in T land Remember if your glass is half empty make sure there is a full one standing behind it,4
11,I actually do heart Makes me feel good every day,4
12,Also how am I supposed to shower w no shower curtain The shower rod broke I tried yest amp got water all over the floor lol,0
13,working on sunday Sr que cercaa estass,4
14,hey my friend he s stil so nice to me but has a gf its on his status now,0
15,Enjoy I m sad to be missing it but we couldn t find a sitter,0
16,Me and Mr Jones,4
17,Is working on a translation template for web content Soon www lightalantern com will be in loads of different languages,4
18,is looking for someone to go out for sushi tonight My usual victims aren t here,0
19,happy monday sir frank,4
20,he s not allowed out anymore,0
21,will be listening to a loophole filled sales pitch by the guy at the gym tmw afternn smtime I cant wait to catch him out smwere,4
22,Making breakfast with the 1 u love is priceless Yay for scrambled egg on toast Now to bath,4
23,Trying to learn Afrikaans by watching 7de Laan I can t say I m making great progress,0
24,ahh thanks guys I prefer Dr Quinn shes dreamy,4
25,I think I might have invented that phrase but then again I m not really focused enough to invent anything,4
26,if only it was that easy that would be awesome closes his eyes aswell,4
27,su Im listening to u on the radio right now at work I never miss wed mornings,4
28,this would be a good time to take up stamp collecting as a hobby You could fill up your first album just like that,4
29,Going to try and find the ANC debate,4
30,no in the comment they left me they said i can choose any one lol i dunno dont mind either way,4
31,so what was the problem welcome back,4
32,u a legend let me know when i can collect,4
33,Anne Hathaway We love love LOVE your style,4
34,Hey what s up My name is Caleb and I m your newest follower,4
35,Just relaxing and getting ready to turn in after an awesome weekend with my family,4
36,aaahhh I have a pounding headache I just feel like banging my head against something,0
37,I m home Safely Lots of hw are waiting for me,0
38,pleasure I ll be posting about the LIP survey on Thursday,4
39,my breath is fresh except in the morning lmao,4
40,sick as shit not looking 4ward to writting tomorrow,0
41,thanks muchly,4
42,will be making a big announcement l8r stay tuned fb,4
43,Spent the day entertaining 7 kids with my wife for my daughters birthday party I had fun glad it s over now it s time to clean up,0
44,wow that s kinda cool hehe really forward thinking from a technological pov i mean if it works for news networks,4
45,Did I mention that I hate house hunting Giving up on all things frustrating today and going to sit outside with a drink instead,4
46,is looking forward to riding her ponies today it s been awhile,4
47,I can t DM you since you re not following me,0
48,what number was i,4
49,Wave is going to be awesome,4
50,Wishing all a Wonderful and Happy Mother s Day,4
51,Hey you,4
52,No the little thumbnails are very seductive,4
53,How did drinking diary go down,4
54,NEW DAY NEW PAGE SO FAR SO GOOD,4
55,stiletto all done check your blog,4
56,yip us walking peeps have to find one quickly coz the rain is coming pretty much every day now,0
57,herer Hahahaha what snow Still nothing,0
58,No such thing as too many public holidays I m looking forward to lots of chocolate too,4
59,Good morning from RSA Twitterverse Please send me some happy vibes amp cheerfulness today I m feeling a little sad,0
60,who here likes knows the band Sweat X,4
61,preparing to win at golf today,4
62,Then download your pic from quot My Pictures quot or wherever you save your pics into TwitPic Now I bet you re really confused,4
63,oh I think Stacie is a meanie and that will result in AG running faarrrr awayyy and changing his Identity drastic measures I know,0
64,misses having dstv on nights like this it also doesn t help having a fine at the local dvd store no more dvd s till payday going to bed,0
65,Yo GO TO BED,4
66,I have no clue They do not know which way is up as a result of your new twitter tactic,4
67,thanks got a hold of someone there who knew their stuff at last,4
68,kruger sounds much happier this morning She really wasn t well yesterday,4
69,Don t listen to him Darren I would rather have a Rangie than a Landi,4
70,I don t ever to get to say something like this but I feel honoured that I m one of only five people that the is following,4
71,CT That story about China is awful But surprising Another violent culture lt with nose is better,0
72,Hanging out in SLC with Leaving to Wyoming in the morn,4
73,Homer does that cape proud,4
74,i blame my two friends for introducing them to me then i watched just my luck when i heard they were in it,4
75,Luggage checked in Now a 2 hr and 30 mins wait for our flight,0
76,I d defend you,0
77,I want to be a peach on a tree,4
78,DSTV sucks I m missing the Idols finale not a happy girl at all,0
79,They letting my Grandfather go home because the Doc says there is nothing more they can do for him,0
80,B if I was earning half as much as u skinny biatch s me would go 2 LV amp buy the whole store 4 u bt I CANT,0
81,before Keep it in for 20mins and then go shampoo and condition,4
82,no TV for me CricBuzz is the best i can do,0
83,Oh no Nuggets today I can t keep up Jealousy makes me hungry,0
84,I Just got up and heading to school for an exam i studied and forgot everything again O O,0
85,Just learned the first 30 seconds of Satriani s quot Ten Words quot by ear Took me over an hour I sure hope this gets easier as I go along,4
86,will you reply you don t ever to me,0
87,sooooooo EXCITED sad that its laurens last,0
88,Ye i saw that Awesum,4
89,exams,0
90,Thank you I look forward to your tweets D Keep Smiling,4
91,Heading to part ay see some of you there Save me one of them cupcakes,4
92,Devraj I is baking chocolate brownies yummy,4
93,FCUK My bad Also read the freaking date wrong It s only next week Sorry for spamming you peeps,0
94,coffe is over rated as are early mornings,4
95,Escobar LOL yay oooh and how was workout yesterday,4
96,Yeah they did,4
97,dunno if today s was an actual holdup some ppl tried to rob the bank is all i know but yeah recent M amp B robbery was a holdup,0
98,my husband and i were playing rummikub or tile rummy score 1 1,4
99,my little princess,4
100,ahhh quot shake it quot just came on my itunes i forgot how much i love that song,4
101,lol only musik lol NoT On lY lol ET calling lol soo hope YoU to You re tho lol THX Deluxe tea onlY WiTh God Sug Girl s GooD Tee TH YX,4
102,Morning everyone,4
103,Aaah in that case I feel no need to reply again since I know me amp you don t,4
104,One Hundred and Eighty,4
105,LOL Poor disconnected doggie Back from Sun City amp downloading 100 e mails,0
106,Good morning may you all have a prosperous day,4
107,what a pity,0
108,such a good movie I havent seen that in forever I might have to watch that tonight too,4
109,LMAO You totally have that ex geek thing down I think they should give you a cameo role on The Big Bang Theory sometime,4
110,Hi from a cold and wet Cape Town Am taking some time out to recharge my batteries today Thank you to the new followers enjoy your day,4
111,Aww you re welcome,4
112,listened to ur bit on 702 this morning great spot hope you found your coffee,4
113,TOOO BAD NOW IM SAYING THOMAS MUAHAHAHAHA and no repeats you repeated MUAHAHAHAHA,4
114,so much for Ubuntu,4
115,challenge that thinking with a follow up action It is gr8 to see there are people who care abt saving our world today,4
116,i feel like deleting all my videos They re all so stupid,0
117,thanks,4
118,Off to gym so much to do but can t accomplish all Should never have waisted yesterday and all the other days,0
119,I am powering through work and showing Monday who s boss feeling better already a bit of focus and distraction does wonders,4
120,yeah very surprized smith AB and gibbs failed in the same game,0
121,Thank you Michael,4
122,I am doing ok thanks Just glad it is mostly over now and moving on,4
123,Me thinks a blog post purely on male grooming is required Awesome responses,4
124,Chris just farted in the UJFM studio thats not nice is it,0
125,Off to record some more banging tunes after church today,4
126,so bummed had this awesome long blog of my antics today and it disappeared,0
127,public holiday tomorrow makes this Monday very hard to get through esp with a cold,0
128,thats it i cannot watch this damned cricket anymore desperate housewives for me t20,0
129,is still giving away tickets to see Foto Na Dans and The Sleepers at Zula on friday go to www onesmallseed net to find out more,4
130,it s a very happy birthday,4
131,Usually I think too much of a good thing is fabulous,4
132,not feeling too healthy typical on a friday,0
133,hates all the fuss about It makes me feel very empty,0
134,has a terrible headache wish it would just go away already,0
135,Just had a stressful BR game 8 9 to me though,4
136,O great now they start with the Thomas TC thing that makes me sad,0
137,shucks ok no problem take your time not in a rush right now,4
138,Well now seeing you on it maybe you can pull it off Perhaps not Vespa slick but still mad sick Cali looks happy,4
139,Damn now I want a cup of tea and jaffa cakes,0
140,Glad you danced it is a big achievement I actually strive for such accomplishment w my life,4
141,me to which one are you going to choose,4
142,Not feeling 2 happy 2day Found out over weekend that my sausage dog is now paralyzed amp I need R15K to help save her,0
143,had a blast with Elmo amp Thriller in the Studio 1 recital Whole show rocked evidence to follow Congratulations Karissa,4
144,netprophet well 25 netprophet followers thus far Lunch gone like hotcakes no crumbs,4
145,on the other handdddd how are you my lovee we havent talked in so loooong,0
146,MM rocks,4
147,itz Saraa SHUT UP lol I am mad I don t wanna go there the whole week what to do if I stay by my sis I ll havta go 4 that youth thing,0
148,Star Trek Made them woookies Look bad arrgghhh chubaka,0
149,it s simple so i ll remember it,4
150,that s terrible,0
151,These are tha times I wish I had a girlfriend I get lonely too LOL forreal though,0
152,no fair how come you ve seen the new vid I haven t,0
153,I m only going to be back in SA on Thursday Looking forward to the cold weather 40 in the shade is NOT fun,0
154,aww man i m gonna miss clarissa wish you were comming back to luthhhh,0
155,Wow photoshoot was awesome today so much fun hehe,4
156,Thx 4 wkendthx,4
157,yeah American convention rules the world doesn t it,4
158,damnman I still aint got out the car hate to see this shit n this b like whn u see ppl u been wonderin where they been aint seen n years,0
159,Proud to announce Kobus Dippenaar as the designer for Little Love Vintage clothing range for Brigitte Willers,4
160,the long wkend is over,0
161,aww I m sorry swty I don t like when that sorta stuff happens so I won t be youtubing it I m really sorry,0
162,Ur pic is gone,0
163,Hey what s up My name is Caleb and I m your newest follower,4
164,and not sharing,0
165,Having a good day STILL working on the psych assignment but it s nearly done Then the celebrations begin,4
166,Ok so the funeral went well My counsin was laid to rest Rest in peace Diraz God bless,4
167,Bill is still awesome,4
168,HOLY CRAP 1 poster is 15 WTH aaahHH My dad will kill me if I even think about buying it Help,0
169,D you know may be kinda ugly but wow it s packed with nice info recipes food focus articles etc Love my site inside,4
170,OMG I visited Mediatakeout com this morning amp saw u in a hospital robe Women in that state don t look dandy but YOU,4
171,Doesn t look like Tethering is supported by Vodacom either GRRRR From the Apple Help,0
172,lol pleasure hehe it s day here hehe how s things with you,4
173,If you survive long enough you re revered rather like an old building Katherine Hepburn Hope it s rad doll,4
174,My friend is being taken away from me from right under my nose,0
175,This all things good hey sorry about the sore muscles but body beautiful is painful are you well otherwise,4
176,I m bored its rainin and I don t have my baby quot car quot,0
177,New blog post Wordpress 2 8 doesn t play nice with my theme,0
178,Its cold freezing cold And my husband is addicted to World of Warcraft,0
179,I wonder how they expect us to pay even more taxes in a bad economy,0
180,well they about to get wet its raining in ATL,0
181,Argh more rain,0
182,Happy Mothers Day boo tell your momma for me too,4
183,Totally pumped for the 2009 CMT Music Awards you better watch AND take notes there will be a quiz,4
184,Holy hell this headache will not go away,0
185,K Thanks XOXO Hugs Was wonderful lil mini trip,4
186,I miss my garden Gonna tidy my room again and possibly start packing,0
187,I do not like the cone of shame,0
188,had the best weekend i miss Cape Coral already,4
189,Go ahead I don t mind and thank you,4
190,has the name of his 1st song I ll be writing tomorrow Chicago soon,4
191,Thanks,4
192,Had a horrid dream last night,0
193,aww I m sure thats a fact wha chu end up getting urself into,4
194,Positivity is not about being soft it s about being smart u suckaz hehe,4
195,Nikki Lorenzo the human lobster Woooo,4
196,I ll try just for you Su,4
197,yeh true if it ever turn s up that is,0
198,a claims that if he were leaving me for anyone in my family it would be you,4
199,Shopping online at Fred Perry,4
200,I had veggie yesterday I ate mcd chicken salad and some in the office had pizza,0
201,Yup Same season he s been there from the begining He s the one in jeans and the flannel all the time No suit for him,4
202,I wish someone was here with me,0
203,oo yess how could i forget the free printer haha you were such a good sport yesterday,4
204,KOXPERS AT APOSTALS d2 cant exp anywhere damt it,0
205,Xbox just got fried,0
206,wow my laptop just did a unexpeded shutdown oopps,0
207,you ripped it again,0
208,Go West Young Lady singing at Bridgestreet And Worshiping,4
209,but i thought you missed me,0
210,liv crap I work nights so everytime I wake up you have already given out beta codes,0
211,Lol Ah Steve You are a good man letting your wife have a lie in You will go to heaven for that now lol xxx,4
212,You promised us no aneamic breasts,0
213,damn it twitter i want to change my pic,0
214,Don t you just hate when you are craving something to eat and then you go get it and end up DISAPPOINTED Ugh,0
215,Hey mike you re lucky to have a banksy exibition in your town,0
216,Just woke up going to work,0
217,oh yeah and minimizing to tray would be cool too,4
218,dude morning Paris what a sunny day,4
219,just updated her blog for the 1st time in 4 days,4
220,Gonna leave to pick up winston poor baby lost his manhood today,0
221,when your up why do people love to bring u down,0
222,Moby gig last night was fab just drank too much beer at the after show party and am nursing a hangover but not a bad one,0
223,Getting ready to leave for Spring City TN I m going to miss your show tonight,0
224,Not a problem girly,4
225,truee hmm well i am definitely intereseted on that demi ticket then lol where is it again,4
226,Packing,4
227,Just watched quot the happening quot not so good,0
228,My Flexiscale server has been quot starting quot for 4 hours now Will it ever come online,0
229,unless u say ur leaving me amp leave me,0
230,Spain would be the best place for Honeymoon need to tell him that hint hint,4
231,dogs Cant live with them cant live with them lmao im good ta,4
232,lt Do it for the Lulz,4
233,Found a gray hair today,0
234,darling I just noticed the moose munch woe those were the days HA,0
235,Where can we see you wrestling soon You are one of my faves,0
236,about to head to post office and then off to work fuck im tired but england in two days family drama here i come,0
237,Can t sleep I miss my hubby,0
238,Glad Lee Kuan Yew doesn t want to see Lim Kit Siang,0
239,N O L F 2 doesn t seem to work on Vista Win7,0
240,support you you will go so far I have faith in you you have an amazing family tweeted me once you deserve,4
241,Forgot to bring out my hot magazine,0
242,haha i wish i can screw the finals But if i dont get a good grade then my grades can drop and i worked way to hard to,0
243,blizzards are the best None near me,0
244,YAAAYYYY I AUDITION TODAY FOR AGT americas got talent amp i m sick,0
245,Now Mike punking out scared of Tara and Helen This is going to be a good show I never watched the Biggest Loser until this season,4
246,PEREZ I AM ACTUALLY IN LOVE WITH YOU,4
247,YumYum yea thats why im comin back states in july yeeeeeee,4
248,Someone keyed my car,0
249,wow got a lot done today office is half done xbox is online been up for 24 hours,4
