,bert,f1(%),accuracy(%),lab,precision(%),recall(%)
0,135.8306525421142,0.0007,0.0278,CA_AU,0.0518,0.0518
1,129.54004119873048,0.1024,0.1694,CA_UK,0.0792,0.1208
2,101.24845336914062,0.048,0.0875,CA_US,0.0415,0.0536
3,103.6363388824463,0.0153,0.0366,CA_MTP,0.0078,0.0218
4,106.94591941833497,0.0408,0.0579,CA_TEST,0.0059,0.0686
5,131.51413986206055,0.1031,0.1972,AU_UK,0.0274,0.1726
6,136.75882575988769,0.0473,0.0597,AU_US,0.0933,0.0018
7,136.07995094299315,0.0146,0.0088,AU_MTP,0.0596,0.03
8,134.75340339660644,0.0415,0.0857,AU_TEST,0.0459,0.1204
9,126.88016670227051,0.1504,0.2569,UK_US,0.1744,0.1726
10,127.45738945007324,0.1177,0.206,UK_MTP,0.1426,0.0018
11,122.63936225891113,0.0616,0.1115,UK_TEST,0.0522,0.03
12,102.27303871154785,0.0327,0.0509,US_MTP,0.0337,0.0318
13,109.92082778930664,0.0888,0.1454,US_TEST,0.0474,0.1222
14,109.85772399902343,0.0561,0.0945,MTP_TEST,0.0137,0.0904
